Echo 1
0.115494 1.27675 -0.123953 
0.163284 0.830295 -0.0997567 
0.127069 0.991463 -0.242504 
0.191532 0.581844 -0.189248 
-0 0.649514 -0.413345 
0.330775 -0.000592107 -0.550758 
0.0294452 -0.000237039 -0.297891 
-0 -0.000855801 -0.297951 
0.12228 -0.000141912 -0.16002 
0.384468 -0.000231837 -0.45095 
-0.176398 0.591537 -0.170761 
-0.14744 0.450382 -0.123269 
-0.221827 0.472805 -0.381599 
-0.229597 0.873397 -0.206121 
-0.273543 -0.000144361 -0.654342 
-0.338248 -0.00062392 -0.641435 
-0.130371 0.158073 -0.130369 
-0.470505 -0.00026842 -0.479592 
-0.170977 -0.000121924 -0.470163 
-0.0737658 0.920334 -0.141774 
-0.114107 0.966188 -0.121374 
-0.126021 0.921562 -0.131157 
-0.0825708 0.963326 -0.189296 
-0.105869 0.614084 -0.108315 
-0.550586 0.323135 -0.311298 
-0.251727 0.799392 0 
-0.608189 -0.000172142 -0.364662 
-0.721262 -0.00127254 -0.260979 
-0.564619 -0.000288978 -0 
-0.222882 -0.000232485 -0.406989 
-0.226818 -0.000152933 -0.122986 
-0.581976 0.565488 0.126214 
-0.317145 0.663514 0.111441 
-0.137197 0.338078 0.144437 
-0.12426 0.895158 0.169378 
-0.224169 -0.000547024 0.28388 
-0.29473 -0.000333037 0.258826 
-0.230894 -0.00064787 0.475211 
-0.438677 0.471356 0.434243 
-0.393496 -0.000400028 0.178645 
-0.151004 0.851478 0.0945198 
-0.147241 1.25487 0.141175 
-0.117913 0.831375 0.105551 
-0.315389 1.35814 0.167211 
-0.307722 0.925172 0.380056 
-0.122847 0.746374 0.115487 
-0.154876 0.986869 0.0290547 
-0.113518 0.690676 0.463688 
-0 0.383043 0.212981 
-0.299375 -0.000480001 0.715805 
-0.035032 -0.000215522 0.230866 
-0 -8.4e-05 0.764617 
-0.241048 -0.000316646 0.542136 
-0.181422 -0.000239341 0.181271 
0.329126 0.372161 0.370063 
0.168909 0.519701 0.224104 
0.381813 0.540434 0.284494 
0.119729 0.749582 0.214723 
0.699763 -0.0024266 0.242571 
0.18702 -0.000205973 0.344302 
0.480117 0.515451 0.463654 
0.641618 -0.000585332 0.483788 
0.124926 -0.000720719 0.62174 
0.0498974 0.723157 0.114026 
0.12628 0.897583 0.113476 
0.263246 1.22679 0.196375 
0.13607 1.47594 0.129346 
0.326079 1.06297 0.152763 
0.101611 0.947151 0.132993 
0.0613573 1.20958 0.129577 
-0.310825 0.675394 0.42473 
-0.0986756 0.944607 0.0266752 
-0.135729 0.54303 -0.146442 
-0.0708552 1.54269 -0.14401 
0.235501 0.730926 -0.371569 
0.208303 1.3982 -0.0894358 
0.179818 1.46997 0.102294 
0.418505 1.00556 -0.345358 
0.0593728 0.943821 -0.0990801 
-0.08672 1.19849 0.181386 
-0.108335 1.14156 0.123504 
-0.0996804 0.943966 -0.107296 
0.1879 1.53171 -0.192762 
0.126757 1.07307 0.131241 
-0.181737 1.46805 -0.1672 
-0.10386 1.07697 0.117109 
Echo 2
0.16898 2.72376 -0.416648 
0.190272 2.0958 -0.396836 
0.414943 2.77359 -0.43246 
0.395996 2.56573 -0.452534 
0.448243 2.48936 -0.419231 
0.247712 2.97395 -0.257138 
0.314124 2.88136 -0.326877 
0.277729 2.11389 -0.530501 
0.157065 2.07798 -0.598886 
0.434084 1.9293 -0.763602 
0 2.12274 -0.729027 
0.633094 2.29105 -0.529467 
0.750709 2.1157 -0.760389 
0.545995 1.81543 -0.91919 
0.628565 1.69888 -0.649152 
0.538198 2.31545 -0.527456 
-0.277511 1.7591 -0.548798 
-0.331969 2.07429 -0.614515 
-0.434055 1.69189 -0.602092 
-0.563796 1.81487 -0.570209 
0 2.2457 -0.568752 
-0.143659 1.67827 -0.583126 
-0.284675 2.4662 -0.503475 
